,Title,Locality,Building/Area,Price,Area,Number_of_Bedrooms,Number_of_Bathrooms,Description
1118,3 BHK Residential Apartment for rent in Thanisandra Main Road,Thanisandra Main Road,Nikoo Homes-Bhartiya City,43000,2107,3,3,"This is a beautiful 3 bhk flat for rent in thanisandra main road, bangalore north. It is a part of nikoo homes-Bhartiya city. The built-Up area is 2107 sq. Ft. The carpet area is 1900 sq. Ft.
This apartment is on the 7th floor of 27 floors. It is available to families, single men and single women.
This apartment has 3 bathroom(s).
 It is in a gated society.
The furnishings include 3 wardrobe(s), 4 fan(s) and 6 light(s).
This property has an expected monthly rental of rs. 43000/-. Some of the additional costs includesecurity of 6 times the rent.

There is one covered parking."
1119,(1 RK) Studio Apartment for rent in BTM 2nd Stage,BTM 2nd Stage,Colive Primus,12000,500,1,1,"Colive primus is one of the premium colive property located at btm layout 1st stage . These are 1 bhk apartments, equipped with all modern amenities and safety features. Fully furnished room in attractive colors will compliment your personal sense of style and gives the real comfort like staying at your own home.

Location highlights
Colive primus is located at gangotri circle in btm 1st stage. The property is in the hub of companies like infosys testing campus, techkel technologies, sterling wilson pvt ltd, which make it ideal for working professionals. The property is in an attractive location near forum mall with many cafes & restaurants around and has an easy access to bus stop, auto stand & atms."
1120,2 BHK Independent Builder Floor for rent in 4th Block HBR Layout,4th Block HBR Layout,HBR Layout,15000,1000,2,2,2bhk 24 hours kavery water 2 weelers parking car parking
1121,3 BHK Residential Apartment for rent in Hebbal Kempapura,Hebbal Kempapura,Godrej Platinum,60000,2900,3,4,"3 bhk flat available for rent in hebbal kempapura, bangalore north. It is located in godrej platinum, which is a very good society. The space is semifurnished, located on 12th floor of 22 floors. It has 3 bedrooms, 4 bathrooms and more than 3 balcony(S). The flat is built on the principles of feng-Shui/vaastu. It is an ideal accommodation for family and has a super built-Up area of 2900 sq. Ft. It includes 3 wardrobe(S), 1 modular kitchen, 3 ac(S), 3 geyser(S), 5 fan(S), 11 light(S), 1 stove(S), 1 water purifier(S), 1 dining table(S), 1 chimney(S) and 1 exhaust fan(S) and has facilities like lift(S), park, maintenance staff, visitor parking, water storage, intercom facility and security/fire alarm etc. In addition, it has vitrified flooring. It is a 0-1 year old property. Since it is located in a gated society, you can be assured of security. The flat is north facing. There is 2 covered parking. Full power back up. Available for a monthly rent of rs. 65000 and a security deposit of 10 months rent."
1122,2 BHK Residential Apartment for rent in Malleshpalya,Malleshpalya,Hari Residential,20000,1100,2,2,"Brand new 2bhk flat available for rent at malleshplaya good locality, 
24hrs water security 2&4wheeler;Covered parking lift available, 
Close to bus stop market schools medicals restaurants atm's etc, 
More details contact"
1123,3 Bedroom Independent House for rent in Brookefield,Brookefield,AECS Layout RWA,45000,2200,3,3,"Very close to main road good loction in house this is fully furnished house super market and hotels, malls hospitals distence just 200mtrs"
1124,3 BHK Residential Apartment for rent in Suraksha Nagar,Suraksha Nagar,SNN Raj Serenity,27000,1510,3,2,"Excellent semi furnished 3bhk flat, 1505 sqft with modular kitchen and chimney, excellent interiors like wardrobes and electrical fittings, apartment complex has got 24 hrs water, 24 hrs backup, security and car parking. Amenities like, pool, gym, healthclub, table tennis, billiards etc nearby reputed schools and colleges, supermarket, atm facilty, hospitals, auto stand and frequent bus facility. Rent is 27k including maintenance charges,

Near by royal meenakshi mall and meenakshi temple, near by schools are bgs, nps, dps, kumarans, psbb, sri chaitanya techno school, samhitha academy, sherwood high, greenwood high etc..
 Near by hospitals like fortis, apollo, jayadeva cardiology, sagar hospitals etc..
This location is very close to nice road, its 9km from electronic city, 3km from kalyani magnum tech park, hsbc & iim
Very good access road to global village tech park mysore road"
1125,2 BHK Residential Apartment for rent in Kalena Agrahara,Kalena Agrahara,Purva Panorama,28000,1325,2,2,"Excellent semi furnished 3bhk flat, 1500 sqft with modular kitchen and chimney, excellent interiors like wardrobes and electrical fittings, apartment complex has got 24 hrs water, 24 hrs backup, security and car parking. Amenities like, pool, gym, healthclub, table tennis, billiards etc nearby reputed schools and colleges, supermarket, atm facilty, hospitals, auto stand and frequent bus facility. Rent is 28k including maintenance charges,

Near by royal meenakshi mall and meenakshi temple, near by schools are bgs, nps, dps, kumarans, psbb, sri chaitanya techno school, samhitha academy, sherwood high, greenwood high etc..
 Near by hospitals like fortis, apollo, jayadeva cardiology, sagar hospitals etc..
This location is very close to nice road, its 9km from electronic city, 3km from kalyani magnum tech park, hsbc & iim
Very good access road to global village tech park mysore road"
1126,2 BHK Residential Apartment for rent in Muthurayya Swamy Layout,Muthurayya Swamy Layout,Hinduja Lake Front Estate,25000,1360,2,2,"Excellent semi furnished 2bhk flat, 1355 sqft with modular kitchen and chimney, excellent interiors like wardrobes and electrical fittings, apartment complex has got 24 hrs water, 24 hrs backup, security and car parking. Amenities like, pool, gym, healthclub, table tennis, billiards etc nearby reputed schools and colleges, supermarket, atm facilty, hospitals, auto stand and frequent bus facility. Rent is 25k including maintenance charges,

Near by royal meenakshi mall and meenakshi temple, near by schools are bgs, nps, dps, kumarans, psbb, sri chaitanya techno school, samhitha academy, sherwood high, greenwood high etc..
 Near by hospitals like fortis, apollo, jayadeva cardiology, sagar hospitals etc..
This location is very close to nice road, its 9km from electronic city, 3km from kalyani magnum tech park, hsbc & iim
Very good access road to global village tech park mysore road"
1127,3 BHK Residential Apartment for rent in Kalena Agrahara,Kalena Agrahara,Prestige Notting Hill,38500,1804,3,3,"Excellent semi furnished 3bhk flat, 1805 sqft with modular kitchen and chimney, excellent interiors like wardrobes and electrical fittings, apartment complex has got 24 hrs water, 24 hrs backup, security and car parking. Amenities like, pool, gym, healthclub, table tennis, billiards etc nearby reputed schools and colleges, supermarket, atm facilty, hospitals, auto stand and frequent bus facility. Rent is 38.5k including maintenance charges,

Near by royal meenakshi mall and meenakshi temple, near by schools are bgs, nps, dps, kumarans, psbb, sri chaitanya techno school, samhitha academy, sherwood high, greenwood high etc..
 Near by hospitals like fortis, apollo, jayadeva cardiology, sagar hospitals etc..
This location is very close to nice road, its 9km from electronic city, 3km from kalyani magnum tech park, hsbc & iim
Very good access road to global village tech park mysore road"
1128,2 BHK Residential Apartment for rent in Kalena Agrahara,Kalena Agrahara,Prestige Notting Hill,34000,1543,2,2,"Excellent semi furnished 2.5bhk flat, 1545 sqft with modular kitchen and chimney, excellent interiors like wardrobes and electrical fittings, apartment complex has got 24 hrs water, 24 hrs backup, security and car parking. Amenities like, pool, gym, healthclub, table tennis, billiards etc nearby reputed schools and colleges, supermarket, atm facilty, hospitals, auto stand and frequent bus facility. Rent is 34k including maintenance charges,

Near by royal meenakshi mall and meenakshi temple, near by schools are bgs, nps, dps, kumarans, psbb, sri chaitanya techno school, samhitha academy, sherwood high, greenwood high etc..
 Near by hospitals like fortis, apollo, jayadeva cardiology, sagar hospitals etc..
This location is very close to nice road, its 9km from electronic city, 3km from kalyani magnum tech park, hsbc & iim
Very good access road to global village tech park mysore road"
1129,3 BHK Residential Apartment for rent in Akshaya Nagar,Akshaya Nagar,Hiranandani Lake Verandahs,37000,2061,3,3,"Excellent semi furnished 3bhk flat, 2061 sqft with modular kitchen and chimney, excellent interiors like wardrobes and electrical fittings, apartment complex has got 24 hrs water, 24 hrs backup, security and car parking. Amenities like, pool, gym, healthclub, table tennis, billiards etc nearby reputed schools and colleges, supermarket, atm facilty, hospitals, auto stand and frequent bus facility. Rent is 43k including maintenance charges,

Near by royal meenakshi mall and meenakshi temple, near by schools are bgs, nps, dps, kumarans, psbb, sri chaitanya techno school, samhitha academy, sherwood high, greenwood high etc..
 Near by hospitals like fortis, apollo, jayadeva cardiology, sagar hospitals etc..
This location is very close to nice road, its 9km from electronic city, 3km from kalyani magnum tech park, hsbc & iim
Very good access road to global village tech park mysore road"
1130,3 BHK Residential Apartment for rent in Thanisandra,Thanisandra,Sobha City,30000,1654,3,3,"3bhk premium flat is available for rent at sobha city apartment at thanisandra main road. The flat comes with 3 large bedrooms with attached bathroom and toilets, it is a semi furnished flat with wardrobes and kitchen cabinets with chimney etc...Built up area 1654 sqft. Sobha city feature top of the line amenities in a great neighborhood like. Gated community with round the clock security,high speed elevators, exclusive children play area, party room and gym, swimming pool and club house with indoor games.
For more details & inspection contact hifi ventures"
